Userid,Movie,Rating
0,966,5
0,689,3
1,296,5
1,306,3.5
1,307,5
1,665,5
1,899,3.5
1,1088,4
1,1175,3.5
1,1217,3.5
1,1237,5
1,1250,4
1,1260,3.5
1,1653,4
1,2011,2.5
1,2012,2.5
1,2068,2.5
1,2161,3.5
1,2351,4.5
1,2573,4
1,2632,5
1,2692,5
1,2843,4.5
1,3448,4
1,3569,5
1,3949,5
1,4144,5
1,4308,3
1,4325,5
1,4422,3
1,4703,4
1,4973,4.5
1,5147,4
1,5269,0.5
1,5684,2
1,5767,5
1,5878,4
1,5912,3
1,5952,4
1,6016,5
1,6370,4.5
1,6377,4
1,6539,3.5
1,6711,5
1,6954,3.5
1,7209,4
1,7234,4.5
1,7318,2
1,7323,3.5
1,7327,3.5
1,7361,5
1,7365,4
1,7820,2.5
1,7937,3
1,7938,2.5
1,7939,2.5
1,7940,4.5
1,8014,3.5
1,8154,5
1,8327,5
1,8360,4
1,8405,3.5
1,8685,1
1,8729,3.5
1,8786,4
1,8873,3
1,8973,4
1,27193,3
1,27266,4.5
1,27721,3
1,31956,3.5
1,32591,5
2,1,3.5
2,62,0.5
2,110,5
2,150,4
2,151,4.5
2,236,4
2,260,5
2,261,0.5
2,266,1
2,318,5
2,333,5
2,349,4.5
2,356,4.5
2,364,4.5
2,380,1
2,457,5
2,480,2
2,497,4
2,524,3.5
2,527,5
2,534,4.5
2,553,2
2,588,2
2,589,4
2,653,3
2,733,4.5
2,858,3.5
2,914,4
2,953,4.5
2,1035,1
2,1080,1
2,1136,5
2,1196,5
2,1197,5
2,1198,4
2,1201,2.5
2,1210,5
2,1246,4
2,1257,5
2,1270,4
2,1271,1.5
2,1275,4.5
2,1283,4
2,1287,5
2,1291,5
2,1293,5
2,1299,1
2,1302,3
2,1356,5
2,1374,4.5
2,1376,5
2,1393,4
2,1431,3
2,1465,3
2,1485,3
2,1488,5
2,1527,3
2,1580,4.5
2,1584,5
2,1587,1
2,1610,5
2,1653,4.5
2,1672,4.5
2,1674,4
2,1682,4.5
2,1693,4
2,1722,0.5
2,1873,4
2,1907,4
2,1923,0.5
2,1957,3.5
2,1968,1
2,2028,4
2,2081,1.5
2,2083,4.5
2,2115,3.5
2,2138,4.5
2,2139,4
2,2150,5
2,2194,5
2,2268,4.5
2,2273,2
2,2294,4.5
2,2324,1.5
2,2355,4.5
2,2359,5
2,2406,2.5
2,2470,5
2,2496,4
2,2501,4.5
2,2571,5
2,2617,4
2,2640,5
2,2643,0.5
2,2694,4
2,2720,0.5
2,2745,5
2,2761,0.5
2,2762,4
2,2797,1
2,2918,4.5
2,2987,0.5
2,3098,3
2,3105,4
2,3107,3
2,3114,4.5
2,3148,2
2,3175,3.5
2,3360,5
2,3396,4.5
2,3479,2
2,3510,4
2,3578,5
2,3793,5
2,3889,2.5
2,3916,3
2,3948,3
2,3994,3
2,4016,5
2,4019,3.5
2,4022,5
2,4023,3
2,4103,4.5
2,4299,4.5
2,4306,4.5
2,4535,3
2,4571,1.5
2,4720,4
2,4857,1
2,4874,4.5
2,4886,5
2,4896,5
2,4963,4
2,4993,5
2,4995,5
2,5010,2
2,5103,5
2,5349,5
2,5418,5
2,5445,3.5
2,5574,3
2,5816,5
2,5952,5
2,5955,4
2,6156,2
2,6157,3.5
2,6213,2.5
2,6287,2
2,6311,5
2,6333,5
2,6539,5
2,6565,3
2,6753,3
2,6879,5
2,6947,4
2,7004,2
2,7007,0.5
2,7075,5
2,7090,2
2,7143,5
2,7153,5
2,7162,0.5
2,7386,4
2,7624,3.5
2,8010,5
2,8360,4
2,8368,5
2,8636,5
2,8665,4
2,8958,2.5
2,8961,4.5
2,8970,5
2,27821,4.5
2,30749,5
2,30848,0.5
2,31923,3.5
2,33166,0.5
2,33493,4.5
2,33660,5
2,33794,5
2,34162,0.5
2,35836,0.5
2,36527,3.5
2,40815,5
